datetime,open,high,low,close
2023-05-05 04:00:00+0000,1.26097,1.2611,1.26057,1.26063
2023-05-05 05:00:00+0000,1.26062,1.26109,1.25999,1.26011
2023-05-05 06:00:00+0000,1.26015,1.2634,1.25968,1.26292
2023-05-05 07:00:00+0000,1.26292,1.26311,1.26068,1.261
2023-05-05 08:00:00+0000,1.261,1.26111,1.25989,1.26073
2023-05-05 09:00:00+0000,1.26071,1.26094,1.25995,1.26064
2023-05-05 10:00:00+0000,1.26063,1.26157,1.26052,1.26142
2023-05-05 11:00:00+0000,1.26145,1.26175,1.25998,1.26042
2023-05-05 12:00:00+0000,1.26042,1.26083,1.25581,1.2569
2023-05-05 13:00:00+0000,1.25691,1.25981,1.25681,1.25961
2023-05-05 14:00:00+0000,1.25964,1.26204,1.25926,1.26161
2023-05-05 15:00:00+0000,1.26161,1.26522,1.26147,1.26476
2023-05-05 16:00:00+0000,1.26478,1.2652,1.26393,1.26474
2023-05-05 17:00:00+0000,1.26471,1.26473,1.26313,1.26338
2023-05-05 18:00:00+0000,1.26339,1.26433,1.26277,1.26418
2023-05-05 19:00:00+0000,1.26412,1.26413,1.26335,1.26348
2023-05-05 20:00:00+0000,1.2635,1.26362,1.26239,1.2624
2023-05-07 21:00:00+0000,1.26263,1.26334,1.26258,1.26282
2023-05-07 22:00:00+0000,1.26264,1.26351,1.26247,1.26279
2023-05-07 23:00:00+0000,1.26281,1.26324,1.26253,1.26293
2023-05-08 00:00:00+0000,1.26294,1.26366,1.26277,1.26342
2023-05-08 01:00:00+0000,1.26342,1.26407,1.26263,1.2639
2023-05-08 02:00:00+0000,1.2639,1.26459,1.26359,1.26418
2023-05-08 03:00:00+0000,1.26419,1.26465,1.26404,1.26456
2023-05-08 04:00:00+0000,1.26456,1.26535,1.26449,1.26515
2023-05-08 05:00:00+0000,1.26515,1.26528,1.26425,1.26481
2023-05-08 06:00:00+0000,1.26483,1.26573,1.26456,1.26508
2023-05-08 07:00:00+0000,1.2651,1.26541,1.26313,1.26367
2023-05-08 08:00:00+0000,1.26368,1.26515,1.26353,1.26374
2023-05-08 09:00:00+0000,1.26374,1.26445,1.26314,1.26415
2023-05-08 10:00:00+0000,1.26415,1.26685,1.26411,1.26632
2023-05-08 11:00:00+0000,1.26633,1.26671,1.26459,1.26494
2023-05-08 12:00:00+0000,1.26495,1.26548,1.2644,1.26461
2023-05-08 13:00:00+0000,1.26463,1.26548,1.26437,1.26519
2023-05-08 14:00:00+0000,1.2652,1.26546,1.26274,1.26316
2023-05-08 15:00:00+0000,1.26316,1.26374,1.26264,1.26309
